Date,17-MAR-2027,26-APR-2049,18-APR-2037,27-MAR-2050
"as @ Friday, November 6, 2020",171.13,193.09,227.21,174.81
"as @ Monday, November 9, 2020",172.71,193.09,223.06,174.81
"as @ Tuesday, November 10, 2020",171.63,191.48,223.06,177.06
"as @ Wednesday, November 11, 2020",170.85,191.64,223.06,171.16
"as @ Thursday, November 12, 2020",170.85,191.74,223.06,171.16
"as @ Friday, November 13, 2020",170.85,191.87,223.06,171.16
"as @ Monday, November 16, 2020",170.85,191.87,223.06,173.09
"as @ Tuesday, November 17, 2020",170.85,191.87,221.27,175.0
"as @ Wednesday, November 18, 2020",170.85,193.52,221.19,175.0
"as @ Thursday, November 19, 2020",169.81,196.17,221.32,174.97
"as @ Friday, November 20, 2020",169.8,196.17,224.89,174.97
"as @ Monday, November 23, 2020",169.79,197.6,224.89,174.97
"as @ Tuesday, November 24, 2020",170.57,197.16,224.35,175.15
"as @ Wednesday, November 25, 2020",170.71,194.89,224.35,175.15
"as @ Thursday, November 26, 2020",168.39,200.79,224.35,180.15
"as @ Friday, November 27, 2020",170.88,203.88,224.35,180.15
"as @ Monday, November 30, 2020",170.88,202.27,224.35,180.15
"as @ Tuesday, December 1, 2020",170.88,200.71,224.35,180.15
"as @ Wednesday, December 2, 2020",170.88,201.23,200.49,180.15
"as @ Thursday, December 3, 2020",168.46,201.23,200.49,175.23
"as @ Friday, December 4, 2020",168.46,201.23,200.49,177.37
"as @ Monday, December 7, 2020",168.46,201.23,200.49,177.37
"as @ Tuesday, December 8, 2020",168.46,201.23,200.49,170.16
"as @ Wednesday, December 9, 2020",168.46,201.23,222.94,170.16
"as @ Thursday, December 10, 2020",168.46,194.15,218.07,170.16
"as @ Friday, December 11, 2020",164.94,183.58,218.07,163.32
"as @ Monday, December 14, 2020",161.47,183.58,218.07,163.32
"as @ Tuesday, December 15, 2020",160.93,183.58,218.07,163.32
"as @ Wednesday, December 16, 2020",160.92,183.58,218.07,163.81
"as @ Thursday, December 17, 2020",160.91,183.58,218.07,163.81
"as @ Friday, December 18, 2020",160.91,183.27,186.13,171.52
"as @ Monday, December 21, 2020",158.45,183.27,186.13,162.44
"as @ Tuesday, December 22, 2020",158.46,183.27,185.49,162.44
"as @ Wednesday, December 23, 2020",155.66,183.27,185.49,163.65
"as @ Thursday, December 24, 2020",155.66,183.27,182.76,150.35
"as @ Tuesday, December 29, 2020",153.65,183.27,185.5,150.35
"as @ Wednesday, December 30, 2020",145.23,164.48,185.5,163.5
"as @ Thursday, December 31, 2020",149.36,187.7,185.5,166.08
"as @ Monday, January 4, 2021",149.8,164.59,185.5,166.08
"as @ Tuesday, January 5, 2021",150.32,164.59,185.5,166.08
"as @ Wednesday, January 6, 2021",150.32,164.59,185.5,166.08
"as @ Thursday, January 7, 2021",150.32,173.6,174.06,166.08
"as @ Friday, January 8, 2021",150.24,173.6,174.06,166.08
"as @ Monday, January 11, 2021",148.97,165.39,178.99,166.08
"as @ Tuesday, January 12, 2021",148.97,165.39,167.29,166.08
"as @ Wednesday, January 13, 2021",148.97,165.39,164.88,166.08
"as @ Thursday, January 14, 2021",148.97,165.39,164.88,166.08
"as @ Friday, January 15, 2021",141.23,165.39,165.13,166.08
"as @ Monday, January 18, 2021",141.23,165.39,165.13,173.58
"as @ Tuesday, January 19, 2021",141.23,192.44,164.18,173.58
"as @ Wednesday, January 20, 2021",141.23,192.44,164.18,173.58
"as @ Thursday, January 21, 2021",154.82,158.53,164.18,142.01
"as @ Friday, January 22, 2021",139.28,158.53,164.18,142.01
"as @ Monday, January 25, 2021",139.86,158.53,164.18,142.01
"as @ Tuesday, January 26, 2021",139.86,144.38,164.18,142.01
"as @ Wednesday, January 27, 2021",139.86,144.38,161.01,142.01
"as @ Thursday, January 28, 2021",138.65,144.38,161.01,142.01
"as @ Friday, January 29, 2021",136.58,138.93,146.59,121.15
"as @ Monday, February 1, 2021",136.53,141.71,148.51,124.2
"as @ Tuesday, February 2, 2021",136.89,141.71,149.05,124.2
"as @ Wednesday, February 3, 2021",136.99,143.45,149.05,126.68
"as @ Thursday, February 4, 2021",136.97,143.58,149.47,126.76
"as @ Friday, February 5, 2021",136.97,138.52,149.47,121.88
"as @ Monday, February 8, 2021",136.97,136.13,149.47,119.59
"as @ Tuesday, February 9, 2021",136.97,138.62,149.47,121.98
"as @ Wednesday, February 10, 2021",128.33,138.62,149.47,122.15
"as @ Thursday, February 11, 2021",128.68,134.51,149.47,117.6
"as @ Friday, February 12, 2021",128.68,135.12,149.47,118.28
"as @ Monday, February 15, 2021",128.68,133.91,149.47,116.94
"as @ Tuesday, February 16, 2021",128.68,133.91,145.28,116.94
"as @ Wednesday, February 17, 2021",128.68,130.14,144.44,114.45
"as @ Thursday, February 18, 2021",125.95,130.14,144.43,114.45
"as @ Friday, February 19, 2021",128.3,130.14,143.71,115.89
"as @ Monday, February 22, 2021",128.3,127.94,135.67,113.41
"as @ Tuesday, February 23, 2021",128.3,127.94,135.84,113.03
"as @ Wednesday, February 24, 2021",127.5,127.94,138.25,113.03
"as @ Thursday, February 25, 2021",127.5,132.04,138.25,113.03
"as @ Friday, February 26, 2021",127.5,131.37,138.25,113.03
"as @ Monday, March 1, 2021",127.72,128.99,138.25,113.03
"as @ Tuesday, March 2, 2021",127.66,128.99,138.25,113.03
"as @ Wednesday, March 3, 2021",127.66,128.99,138.25,113.33
"as @ Thursday, March 4, 2021",127.66,128.99,138.25,113.33
"as @ Friday, March 5, 2021",127.66,128.99,138.25,113.35
"as @ Monday, March 8, 2021",127.66,128.99,138.24,113.35
"as @ Tuesday, March 9, 2021",127.66,130.5,138.24,115.02
"as @ Wednesday, March 10, 2021",131.12,130.88,138.27,115.39
"as @ Thursday, March 11, 2021",130.03,132.14,138.26,116.8
"as @ Friday, March 12, 2021",130.79,130.62,138.27,114.93
"as @ Monday, March 15, 2021",128.3,132.02,138.09,114.93
"as @ Tuesday, March 16, 2021",127.86,132.02,138.09,114.93
"as @ Wednesday, March 17, 2021",127.87,126.91,136.41,114.93
"as @ Thursday, March 18, 2021",127.76,130.57,134.77,114.93
"as @ Friday, March 19, 2021",127.76,130.57,134.77,114.93
"as @ Monday, March 22, 2021",127.78,130.57,134.77,112.09
"as @ Tuesday, March 23, 2021",127.77,130.57,134.77,112.09
"as @ Wednesday, March 24, 2021",127.77,130.57,134.77,112.09
"as @ Thursday, March 25, 2021",125.21,130.57,134.77,112.09
"as @ Friday, March 26, 2021",125.26,124.29,133.8,112.09
"as @ Monday, March 29, 2021",125.26,124.29,133.69,110.8
"as @ Tuesday, March 30, 2021",125.26,124.04,134.48,110.8
"as @ Wednesday, March 31, 2021",125.26,124.04,134.43,110.8
"as @ Thursday, April 1, 2021",125.26,124.04,134.43,109.42
"as @ Tuesday, April 6, 2021",125.26,124.04,133.74,109.42
"as @ Wednesday, April 7, 2021",124.89,124.04,129.67,109.42
"as @ Thursday, April 8, 2021",124.89,124.04,126.12,109.42
"as @ Friday, April 9, 2021",121.23,112.58,126.02,109.42
"as @ Monday, April 12, 2021",121.23,112.58,125.94,109.42
"as @ Tuesday, April 13, 2021",121.23,111.57,126.18,97.99
"as @ Wednesday, April 14, 2021",121.23,111.76,122.7,97.99
"as @ Thursday, April 15, 2021",118.22,106.31,122.7,93.21
"as @ Friday, April 16, 2021",116.42,106.31,119.43,93.21
"as @ Monday, April 19, 2021",116.81,106.31,119.43,93.49
"as @ Friday, April 30, 2021",115.6,106.22,114.5,92.18
